Customer_ID,Customer_Name,Age,Gender,City,Occupation,Income,Credit_Score,Customer_Tenure,Risk_Category,Online_Banking_Status
1,Michelle Young,52,Female,Hyderabad,Teacher,803097.14,787,10,Low,Active
2,Rebecca Russell,57,Male,Kolkata,Engineer,621249.84,480,6,High,Active
3,Timothy Williamson,60,Male,Bangalore,Teacher,2667055.55,494,9,High,Active
4,Eric Garcia,32,Female,Delhi,Teacher,1076537.58,794,14,Low,Inactive
5,Donald Crosby,24,Male,Hyderabad,Analyst,694987.65,402,14,Low,Active
6,David Gomez,58,Female,Hyderabad,Engineer,689382.58,842,11,Medium,Inactive
7,Mitchell Burns,66,Male,Pune,Teacher,2638247.29,657,12,Medium,Inactive
8,Seth Miller,35,Female,Delhi,Engineer,1710031.69,638,6,Medium,Inactive
9,Samuel Pratt,70,Male,Chennai,Manager,319534.35,571,5,High,Active
10,Melissa Dominguez,70,Female,Ahmedabad,Engineer,2307349.21,836,6,High,Active
11,Juan Brown,66,Male,Kolkata,Analyst,771125.28,825,9,Medium,Active
12,Mark Smith,39,Female,Pune,Teacher,1156283.02,553,11,Medium,Active
13,Connor Bowman,69,Male,Pune,Manager,2611395.51,661,14,Low,Inactive
14,Ricky Adams,53,Female,Mumbai,Doctor,472629.14,665,14,Medium,Inactive
15,Sarah Parker,48,Female,Hyderabad,Doctor,1484391.43,472,4,Medium,Active
16,Patrick Sims,49,Male,Delhi,Teacher,1443657.65,724,8,Low,Active
17,Kirsten Knapp,69,Male,Pune,Teacher,2609068.92,483,12,Medium,Inactive
18,Marcus Olson,45,Male,Delhi,Analyst,2883054.26,414,9,Medium,Active
19,Patrick Fleming,34,Male,Kolkata,Teacher,1078012.53,354,12,Medium,Inactive
20,Jodi Murray,61,Male,Pune,Doctor,1315893.6,653,6,High,Inactive
21,William Richardson,43,Male,Chennai,Teacher,1736803.39,412,7,Low,Inactive
22,Brooke Hill,22,Male,Chennai,Engineer,1762957.08,624,14,Medium,Inactive
23,Michael Bishop,51,Male,Hyderabad,Teacher,1875988.83,574,15,High,Active
24,James Mcintosh,58,Female,Ahmedabad,Doctor,989180.46,584,7,Medium,Inactive
25,Kevin Santiago,39,Female,Kolkata,Business,1999174.47,483,11,High,Active
26,Connor Walters,36,Male,Delhi,Teacher,405904.27,562,13,High,Active
27,Christopher Lewis,43,Male,Mumbai,Business,1742827.19,835,5,High,Inactive
28,George Malone,53,Male,Mumbai,Engineer,2849434.47,552,11,Low,Active
29,Jason Reed,40,Male,Delhi,Business,446456.62,596,9,Low,Active
30,Krista Allen,27,Male,Chennai,Analyst,859711.96,600,11,Low,Inactive
31,Victoria Smith,48,Female,Kolkata,Doctor,2389047.55,503,11,High,Inactive
32,Evelyn Ferguson,21,Male,Ahmedabad,Business,1230490.19,766,3,Medium,Active
33,William Williams,70,Female,Mumbai,Doctor,2766310.75,757,8,High,Active
34,Samantha Sanders,58,Male,Ahmedabad,Manager,1892838.76,580,4,Low,Active
35,Kyle Johnson,46,Male,Chennai,Business,2563177.54,819,14,Medium,Inactive
36,Nathan Howard,28,Female,Pune,Engineer,1900818.29,719,1,Medium,Active
37,Laura Hogan,22,Female,Kolkata,Engineer,613851.0,325,10,High,Active
38,James Mathews,34,Female,Kolkata,Engineer,1213507.69,414,7,High,Inactive
39,Steven Oneill,38,Male,Hyderabad,Doctor,1877040.25,785,8,Medium,Active
40,Rebecca Nguyen,65,Female,Hyderabad,Engineer,1057875.75,816,5,Low,Inactive
41,Derek Lee,33,Male,Pune,Teacher,1240363.97,805,9,Medium,Active
42,Juan Stephens,63,Male,Pune,Engineer,963463.3,584,3,High,Inactive
43,Gregory Pham,68,Female,Delhi,Manager,2085796.8,354,9,Medium,Inactive
44,Christopher Keith,42,Female,Pune,Business,765479.96,782,15,Medium,Inactive
45,Tyler Young,41,Female,Kolkata,Analyst,2814168.66,385,13,Medium,Active
46,Jon Perez,49,Male,Pune,Engineer,308161.82,450,10,High,Active
47,Kathleen Weber,24,Male,Mumbai,Analyst,2659873.26,377,13,High,Active
48,Cody Keller,39,Male,Hyderabad,Business,1290550.51,503,3,High,Active
49,Crystal Brown,40,Female,Bangalore,Doctor,2166748.7,373,14,High,Active
50,Brittany Phillips,29,Male,Bangalore,Teacher,2260596.87,454,1,Low,Active
51,Danielle Deleon,64,Female,Mumbai,Business,2180017.22,577,8,High,Inactive
52,Gregory Martinez,23,Male,Hyderabad,Teacher,1333973.73,572,1,Low,Inactive
53,Shannon Morris,36,Female,Kolkata,Engineer,1764152.24,407,1,High,Active
54,Joseph Robinson,67,Female,Pune,Business,1968792.32,437,15,Low,Active
55,Samantha Sullivan,43,Female,Bangalore,Teacher,2460420.92,770,13,Low,Active
56,Kimberly Lee,28,Male,Kolkata,Doctor,2410654.14,421,14,High,Active
57,Evelyn Burns,67,Female,Delhi,Business,2636054.33,737,12,High,Inactive
58,Angela Liu,21,Male,Mumbai,Manager,1839836.64,444,5,Medium,Active
59,Brian Hester,34,Male,Bangalore,Engineer,2605285.92,531,11,High,Active
60,Lori Miller,65,Male,Hyderabad,Manager,2679303.92,554,3,Low,Inactive
61,Yesenia Armstrong,49,Male,Kolkata,Teacher,2368221.26,665,12,High,Inactive
62,Mark Phillips,68,Female,Hyderabad,Business,774135.12,645,13,Low,Inactive
63,Donna Woods,64,Male,Pune,Manager,1205860.76,681,11,Low,Active
64,Scott Perez,46,Female,Hyderabad,Manager,2947099.16,476,2,Medium,Active
65,Jamie Rodriguez,19,Male,Mumbai,Analyst,513298.7,703,7,High,Active
66,Erika Jones,44,Female,Kolkata,Doctor,2661960.87,721,14,Medium,Active
67,Jamie Brown,19,Female,Ahmedabad,Teacher,566374.04,565,12,High,Inactive
68,Mark Adams,26,Female,Bangalore,Analyst,2810366.23,654,10,Low,Active
69,Joy Lucas,21,Male,Delhi,Doctor,2117639.24,821,3,High,Active
70,Charles Lutz,67,Male,Mumbai,Teacher,1677074.6,539,12,Low,Active
71,David Oneal,52,Male,Mumbai,Engineer,1947740.57,676,4,Low,Inactive
72,Mark Johnson,24,Male,Kolkata,Doctor,704823.34,525,13,High,Active
73,Ray Pham,60,Female,Chennai,Doctor,2531786.58,758,4,Medium,Inactive
74,Tommy Jones,31,Female,Bangalore,Manager,2726754.42,367,7,High,Active
75,Theresa Mcdaniel,33,Female,Hyderabad,Manager,2680768.77,310,12,Medium,Active
76,Tyler Gilbert,30,Female,Kolkata,Doctor,515877.47,451,5,Medium,Active
77,Theresa Kelly,30,Female,Chennai,Analyst,817400.53,575,6,Low,Active
78,Jacob Rodriguez,54,Male,Hyderabad,Teacher,1204167.58,360,2,Low,Inactive
79,Brandon Gonzales,64,Female,Pune,Doctor,1088061.6,719,8,Medium,Inactive
80,James Perkins,61,Male,Pune,Manager,526535.15,461,1,Low,Inactive
81,Amanda Rogers,47,Male,Chennai,Engineer,1994999.7,337,11,Low,Active
82,Linda Hart,53,Male,Hyderabad,Analyst,2202543.84,638,9,Low,Inactive
