CustomerID,CustomerName,Gender,Age,City,State,Country,CustomerSegment,JoinDate
CUST00001,Vivaan Joshi,,61,Pune,Gujarat,India,Corporate,2025-09-22
CUST00002,Aditya Verma, male ,38,Bangalore,Telangana,India,Corporate,2022-08-02
CUST00003,Ananya Shah,,37,Surat,Maharashtra,India,Wholesale,2023-03-20
CUST00004,Vivaan Verma, male ,29,Bangalore,Gujarat,India,Retail,2020-09-28
CUST00005,Diya Agarwal,Female,68,Hyderabad,Tamil Nadu,India,Corporate,2020-05-19
CUST00006,Neha Gupta,FEMALE,55,Hyderabad,Gujarat,India,Corporate,2020-07-17
CUST00007,Vivaan Mehta, male ,68,Ahmedabad,Delhi,India,Retail,2023-10-04
CUST00008,Rohan Gupta,FEMALE,23,Pune,Telangana,India,Corporate,2021-09-26
CUST00009,Diya Gupta,Female,33,Chennai,Telangana,India,Wholesale,2021-11-14
CUST00010,Priya Mehta,Female,65,Delhi,Karnataka,India,Corporate,2021-10-25
CUST00011,Aarav Verma,Male,69,Surat,Maharashtra,India,Wholesale,2021-09-06
CUST00012,Aditya Singh,Female,65,Chennai,Gujarat,India,Wholesale,2022-06-09
CUST00013,Isha Shah,Female,25,Mumbai,Maharashtra,India,Wholesale,2020-09-04
CUST00014,Aarav Gupta,Male,53,Delhi,Delhi,India,Corporate,2022-04-27
CUST00015,Dhruvi Shah,Male,29,Chennai,Gujarat,India,Corporate,2020-04-08
CUST00016,Vivaan Shah,Female,57,Surat,Tamil Nadu,India,Retail,2021-09-02
CUST00017,Rohan Mehta,FEMALE,51,Hyderabad,Tamil Nadu,India,Wholesale,2023-02-27
CUST00018,Aarav Joshi,,18,Delhi,Tamil Nadu,India,Retail,2023-10-12
CUST00019,Meera Singh,,64,Hyderabad,Telangana,India,Corporate,2020-01-23
CUST00020,Nidhi Joshi,Male,30,Bangalore,Delhi,India,Wholesale,2020-08-31
CUST00021,Nidhi Patel,Male,30,Hyderabad,Delhi,India,Wholesale,2024-12-01
CUST00022,Kavya Gupta,,54,Ahmedabad,Karnataka,India,Wholesale,2025-12-11
CUST00023,Riya Kapoor,Female,66,Chennai,Gujarat,India,Retail,2021-03-26
CUST00024,Rahul Singh,FEMALE,71,Ahmedabad,Karnataka,India,Wholesale,2022-12-03
CUST00025,Riya Singh, male ,40,Bangalore,Karnataka,India,Corporate,2022-07-24
CUST00026,Neha Patel,,41,Bangalore,Gujarat,India,Corporate,2025-11-22
CUST00027,Isha Agarwal, male ,52,Hyderabad,Delhi,India,Corporate,2025-09-04
CUST00028,Meera Agarwal,,20,Ahmedabad,Telangana,India,Wholesale,2025-03-21
CUST00029,Nidhi Agarwal,Male,37,Ahmedabad,Maharashtra,India,Retail,2025-05-05
CUST00030,Meera Gupta,,55,Surat,Karnataka,India,Retail,2024-03-27
CUST00031,Riya Patel,Male,32,Bangalore,Gujarat,India,Wholesale,2021-09-10
CUST00032,Yash Shah,Female,62,Delhi,Telangana,India,Retail,2021-10-18
CUST00033,Nidhi Joshi,FEMALE,22,Mumbai,Tamil Nadu,India,Retail,2020-03-07
CUST00034,Yash Gupta,,46,Chennai,Gujarat,India,Retail,2021-10-08
CUST00035,Neha Agarwal,,73,Delhi,Gujarat,India,Corporate,2020-08-27
CUST00036,Isha Shah,,44,Surat,Delhi,India,Corporate,2023-07-07
CUST00037,Dhruvi Verma,Female,38,Bangalore,Tamil Nadu,India,Retail,2021-06-23
CUST00038,Neha Patel,,33,Chennai,Telangana,India,Wholesale,2023-07-04
CUST00039,Rahul Singh,FEMALE,19,Surat,Gujarat,India,Retail,2024-01-30
CUST00040,Aditya Gupta, male ,34,Bangalore,Delhi,India,Wholesale,2022-06-19
CUST00041,Aarav Gupta,Female,64,Delhi,Tamil Nadu,India,Retail,2025-02-08
CUST00042,Priya Verma,,26,Bangalore,Karnataka,India,Corporate,2020-10-02
CUST00043,Diya Agarwal,Male,25,Hyderabad,Telangana,India,Retail,2024-04-14
CUST00044,Vivaan Joshi,FEMALE,25,Mumbai,Karnataka,India,Retail,2020-10-04
CUST00045,Nidhi Desai, male ,63,Bangalore,Delhi,India,Retail,2025-03-11
CUST00046,Diya Kapoor,,28,Hyderabad,Delhi,India,Corporate,2024-02-04
CUST00047,Yash Mehta,Male,52,Hyderabad,Karnataka,India,Wholesale,2024-06-02
CUST00048,Diya Kapoor,FEMALE,59,Bangalore,Gujarat,India,Wholesale,2024-05-28
CUST00049,Isha Kapoor, male ,34,Mumbai,Maharashtra,India,Retail,2022-07-03
CUST00050,Vivaan Patel, male ,22,Ahmedabad,Gujarat,India,Retail,2024-01-30
CUST00051,Rohan Kapoor, male ,58,Surat,Delhi,India,Corporate,2023-03-23
CUST00052,Rahul Patel,,55,Chennai,Maharashtra,India,Retail,2022-06-04
CUST00053,Ananya Gupta, male ,32,Ahmedabad,Delhi,India,Wholesale,2023-08-13
CUST00054,Ananya Verma,,46,Ahmedabad,Tamil Nadu,India,Retail,2024-03-29
CUST00055,Meera Patel,FEMALE,61,Mumbai,Maharashtra,India,Retail,2020-02-15
CUST00056,Arjun Singh,FEMALE,22,Ahmedabad,Telangana,India,Wholesale,2022-11-14
CUST00057,Aditya Agarwal,,27,Chennai,Delhi,India,Corporate,2023-08-29
CUST00058,Sneha Shah,,63,Mumbai,Telangana,India,Corporate,2025-10-27
CUST00059,Aditya Verma,,73,Hyderabad,Tamil Nadu,India,Corporate,2024-10-28
CUST00060,Aarav Agarwal,,66,Ahmedabad,Maharashtra,India,Wholesale,2023-09-24
CUST00061,Isha Shah,FEMALE,32,Ahmedabad,Gujarat,India,Wholesale,2020-08-30
CUST00062,Diya Verma, male ,39,Surat,Tamil Nadu,India,Corporate,2024-09-12
CUST00063,Aarav Gupta,Male,42,Hyderabad,Maharashtra,India,Wholesale,2022-10-09
CUST00064,Ananya Kapoor,,46,Surat,Delhi,India,Corporate,2024-12-03
CUST00065,Vivaan Agarwal,FEMALE,61,Chennai,Delhi,India,Retail,2021-11-14
CUST00066,Neha Verma,Female,41,Hyderabad,Karnataka,India,Retail,2022-01-31
CUST00067,Sneha Patel,FEMALE,65,Bangalore,Gujarat,India,Retail,2022-05-31
CUST00068,Yash Verma, male ,58,Mumbai,Karnataka,India,Wholesale,2023-05-07
CUST00069,Aditya Mehta,,56,Surat,Telangana,India,Retail,2023-01-22
CUST00070,Sneha Desai,Female,32,Mumbai,Karnataka,India,Wholesale,2025-10-28
CUST00071,Aditya Patel, male ,36,Pune,Karnataka,India,Retail,2025-01-10
CUST00072,Riya Verma,,74,Ahmedabad,Maharashtra,India,Corporate,2020-12-01
CUST00073,Diya Joshi,Male,23,Ahmedabad,Telangana,India,Retail,2024-01-31
CUST00074,Rohan Joshi,Female,69,Ahmedabad,Tamil Nadu,India,Wholesale,2022-03-02
CUST00075,Isha Gupta,,74,Mumbai,Telangana,India,Wholesale,2025-07-15
CUST00076,Rohan Agarwal, male ,54,Mumbai,Maharashtra,India,Retail,2020-04-11
CUST00077,Neha Agarwal,Female,34,Ahmedabad,Karnataka,India,Retail,2020-11-20
CUST00078,Arjun Mehta,Female,38,Hyderabad,Maharashtra,India,Retail,2023-10-07
